COOPID, YEAR, MONTH, DAY, meanTemp
80211,2000,1,6,50.00000
80211,2000,1,7,60.00000
80211,2000,1,8,59.50000
80211,2000,1,9,59.00000
80211,2000,1,10,67.50000
80211,2000,1,11,60.50000
80211,2000,1,12,61.00000
80211,2000,1,13,60.50000
80211,2000,1,14,57.50000
80211,2000,1,15,51.00000
80211,2000,1,16,52.50000
80211,2000,1,17,57.00000
80211,2000,1,18,61.50000
80211,2000,1,19,64.50000
80211,2000,1,20,61.00000
80211,2000,1,21,45.00000
80211,2000,1,22,47.00000
80211,2000,1,23,52.00000
80211,2000,1,24,57.50000
80211,2000,1,25,40.00000
80211,2000,1,26,39.00000
80211,2000,1,27,40.50000
80211,2000,1,28,43.00000
80211,2000,1,29,51.00000
80211,2000,1,30,57.00000
80211,2000,1,31,46.50000
80211,2000,2,1,46.00000
80211,2000,2,2,49.50000
80211,2000,2,3,53.00000
80211,2000,2,4,55.00000
80211,2000,2,5,45.50000
80211,2000,2,6,45.00000
80211,2000,2,7,48.50000
80211,2000,2,8,51.00000
80211,2000,2,9,52.50000
80211,2000,2,10,52.50000
80211,2000,2,11,60.00000
80211,2000,2,12,62.50000
80211,2000,2,13,68.00000
80211,2000,2,14,70.00000
80211,2000,2,15,61.50000
80211,2000,2,16,60.50000
80211,2000,2,17,62.50000
80211,2000,2,18,69.00000
80211,2000,2,19,69.00000
80211,2000,2,20,61.50000
80211,2000,2,21,57.50000
80211,2000,2,22,55.50000
80211,2000,2,23,57.00000
80211,2000,2,24,63.00000
80211,2000,2,25,65.50000
80211,2000,2,26,65.50000
80211,2000,2,27,65.00000
80211,2000,2,28,59.50000
80211,2000,2,29,61.00000
80211,2000,3,1,61.00000
80211,2000,3,2,67.00000
80211,2000,3,3,66.50000
80211,2000,3,4,58.50000
80211,2000,3,5,61.00000
80211,2000,3,6,61.50000
80211,2000,3,7,63.00000
80211,2000,3,8,64.00000
80211,2000,3,9,65.00000
80211,2000,3,10,67.00000
80211,2000,3,11,63.50000
80211,2000,3,12,55.50000
80211,2000,3,13,54.50000
80211,2000,3,14,55.00000
80211,2000,3,15,58.50000
80211,2000,3,16,61.00000
80211,2000,3,17,67.00000
80211,2000,3,18,61.00000
80211,2000,3,19,66.50000
80211,2000,3,20,62.00000
80211,2000,3,21,60.50000
80211,2000,3,22,62.00000
80211,2000,3,23,63.00000
80211,2000,3,24,63.50000
80211,2000,3,25,63.00000
80211,2000,3,26,-99.90000
80211,2000,3,27,-99.90000
80211,2000,3,28,-99.90000
80211,2000,3,29,-99.90000
80211,2000,3,30,-99.90000
80211,2000,3,31,-99.90000
80211,2000,4,1,70.50000
80211,2000,4,2,74.00000
80211,2000,4,3,74.00000
80211,2000,4,4,69.00000
80211,2000,4,5,53.50000
80211,2000,4,6,55.00000
80211,2000,4,7,63.00000
80211,2000,4,8,59.50000
80211,2000,4,9,57.00000
80211,2000,4,10,59.50000
80211,2000,4,11,60.50000
80211,2000,4,12,64.50000
80211,2000,4,13,67.50000
80211,2000,4,14,63.50000
80211,2000,4,15,66.00000
80211,2000,4,16,67.50000
80211,2000,4,17,70.00000
80211,2000,4,18,68.00000
80211,2000,4,19,68.00000
80211,2000,4,20,68.00000
80211,2000,4,21,68.00000
80211,2000,4,22,66.00000
80211,2000,4,23,66.00000
80211,2000,4,24,64.00000
80211,2000,4,25,64.00000
80211,2000,4,26,64.00000
80211,2000,4,27,63.50000
80211,2000,4,28,69.00000
80211,2000,4,29,66.00000
80211,2000,4,30,68.00000
80211,2000,5,1,68.50000
80211,2000,5,2,73.00000
80211,2000,5,3,74.00000
80211,2000,5,4,74.50000
80211,2000,5,5,73.50000
